,City,City Id,Max Temp,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Country,Date
0,Kandi,2393693,298.38,40,1.94,16,11.1342,2.9386,BJ,1636425699
1,Busselton,2075265,290.95,42,5.82,53,-33.65,115.3333,AU,1636425699
2,Brookhaven,4419500,283.96,69,1.17,2,31.5791,-90.4407,US,1636425700
3,Chumikan,2025256,267.39,52,0.12,100,54.7183,135.315,RU,1636425700
4,Ponta do Sol,2264557,292.5,73,1.55,34,32.6667,-17.1,PT,1636425700
5,Vila Franca do Campo,3372472,294.37,81,7.12,99,37.7167,-25.4333,PT,1636425700
6,Oistins,3373652,300.2,74,5.14,40,13.0667,-59.5333,BB,1636425701
7,Villanueva,3600327,294.28,94,0.51,90,15.3167,-88.0,HN,1636425701
8,San Patricio,4726521,296.39,71,3.27,40,28.017,-97.5169,US,1636425701
9,Qaanaaq,3831208,257.27,57,4.18,2,77.484,-69.3632,GL,1636425702
10,Hilo,5855927,300.53,71,3.09,1,19.7297,-155.09,US,1636425566
11,Barrow,5880054,268.16,80,5.14,90,71.2906,-156.7887,US,1636425702
12,Hobart,2163355,292.1,63,0.45,75,-42.8794,147.3294,AU,1636425673
13,Srandakan,1626493,303.16,66,2.24,96,-7.9386,110.2506,ID,1636425702
14,Nikolskoye,546105,270.94,84,2.75,10,59.7035,30.7861,RU,1636425703
15,Berlevåg,780687,270.48,80,4.67,97,70.8578,29.0864,NO,1636425703
16,Ushuaia,3833367,280.96,71,1.54,20,-54.8,-68.3,AR,1636425443
17,Gudalur,1270820,294.81,96,0.22,100,9.6833,77.2667,IN,1636425703
18,Rikitea,4030556,296.73,81,6.09,92,-23.1203,-134.9692,PF,1636425704
19,Mataura,6201424,295.21,42,2.11,100,-46.1927,168.8643,NZ,1636425704
20,Yellowknife,6185377,264.42,95,2.57,20,62.456,-114.3525,CA,1636425684
21,Punta Arenas,3874787,282.21,57,3.09,0,-53.15,-70.9167,CL,1636425704
22,Vaini,4032243,301.24,89,4.12,75,-21.2,-175.2,TO,1636425704
23,Abu Dhabi,292968,296.16,64,0.51,0,24.4667,54.3667,AE,1636425612
24,Margate,2643044,285.86,93,0.45,100,51.3813,1.3862,GB,1636425705
25,Albany,5106841,282.03,85,1.2,0,42.6001,-73.9662,US,1636425664
26,Nangomba,877597,295.5,90,1.63,17,-10.9,38.5,TZ,1636425705
27,Tricase,2522857,291.1,92,4.46,100,39.9304,18.3553,IT,1636425706
28,Seoul,1835848,280.88,90,2.06,90,37.5683,126.9778,KR,1636425511
29,Ketchikan,5554428,276.41,87,2.57,90,55.3422,-131.6461,US,1636425706
30,Ranot,1607068,300.62,81,5.74,100,7.7777,100.3213,TH,1636425707
31,Esperance,2071860,291.06,61,9.8,100,-33.8667,121.9,AU,1636425707
32,Banyo,2234794,291.59,89,1.03,32,6.75,11.8167,CM,1636425707
33,Barcelos,2742416,286.31,82,1.95,11,41.5388,-8.6151,PT,1636425708
34,Esmeraldas,3464008,295.73,90,1.3,100,-19.7625,-44.3139,BR,1636425708
35,Cape Town,3369157,287.1,85,1.03,20,-33.9258,18.4232,ZA,1636425421
36,Sibolga,1213855,301.24,66,0.56,90,1.7427,98.7792,ID,1636425708
37,Longyearbyen,2729907,263.06,79,3.6,75,78.2186,15.6401,SJ,1636425709
38,Khatanga,2022572,254.44,98,2.98,94,71.9667,102.5,RU,1636425709
39,Puerto Ayora,3652764,293.52,85,3.28,19,-0.7393,-90.3518,EC,1636425709
40,Hobyo,57000,298.69,64,4.57,60,5.3505,48.5268,SO,1636425710
41,Carnarvon,2074865,295.19,56,8.75,62,-24.8667,113.6333,AU,1636425710
42,Raudeberg,3146487,281.46,89,9.39,100,61.9875,5.1352,NO,1636425710
43,Dunedin,2191562,287.48,90,3.98,100,-45.8742,170.5036,NZ,1636425562
44,Naantali,645211,265.38,86,1.03,67,60.4674,22.0243,FI,1636425711
45,Butaritari,2110227,301.17,73,7.51,72,3.0707,172.7902,KI,1636425711
46,Baykit,1510689,270.66,89,4.39,100,61.67,96.37,RU,1636425711
47,Todos Santos,3981432,300.38,74,1.32,100,23.45,-110.2167,MX,1636425711
48,Poya,2138522,301.78,55,2.88,100,-21.35,165.15,NC,1636425712
49,Bluff,2206939,289.53,67,3.72,100,-46.6,168.3333,NZ,1636425712
50,Kapaa,5848280,301.14,73,0.89,40,22.0752,-159.319,US,1636425712
51,Makakilo City,5850554,300.33,54,3.09,75,21.3469,-158.0858,US,1636425713
52,Tiarei,4033356,301.16,75,0.94,33,-17.5333,-149.3333,PF,1636425713
53,Port Alfred,964432,288.02,84,7.1,96,-33.5906,26.891,ZA,1636425713
54,Nemuro,2128975,287.39,91,9.18,78,43.3236,145.575,JP,1636425714
55,Vao,2137773,296.55,72,3.99,40,-22.6667,167.4833,NC,1636425714
56,Canutama,3664716,296.63,97,0.73,100,-6.5339,-64.3831,BR,1636425714
57,Tuljāpur,1254111,293.72,48,5.13,95,18.0,76.0833,IN,1636425715
58,Michurinsk,527191,276.07,76,6.45,63,52.8978,40.4907,RU,1636425715
59,Saskylakh,2017155,250.51,99,3.07,80,71.9167,114.0833,RU,1636425715
60,Vila Velha,3445026,296.12,95,0.89,90,-20.3297,-40.2925,BR,1636425716
61,Airai,1651810,297.94,60,0.88,66,-8.9266,125.4092,TL,1636425716
62,Mpanda,153176,292.21,46,1.56,89,-6.3655,31.0409,TZ,1636425716
63,Tura,1254046,296.19,61,0.67,78,25.5198,90.2201,IN,1636425716
64,Pisco,3932145,291.18,82,6.17,90,-13.7,-76.2167,PE,1636425717
65,Arraial do Cabo,3471451,295.13,88,1.54,75,-22.9661,-42.0278,BR,1636425717
66,Caicó,3404117,299.41,61,6.85,9,-6.4583,-37.0978,BR,1636425717
67,Klaksvík,2618795,280.66,77,15.28,9,62.2266,-6.589,FO,1636425718
68,Putina,3931137,282.33,73,5.96,100,-15.4667,-69.4333,PE,1636425718
69,Linda,5366531,289.23,70,1.54,90,39.1277,-121.5508,US,1636425718
70,Tuatapere,2180815,289.31,72,1.18,100,-46.1333,167.6833,NZ,1636425719
71,Lata,2738381,285.82,86,1.95,77,40.1629,-8.3327,PT,1636425719
72,Mahébourg,934322,297.73,88,3.6,75,-20.4081,57.7,MU,1636425719
73,Ribeira Grande,3372707,291.69,84,4.79,100,38.5167,-28.7,PT,1636425720
74,Port Elizabeth,964420,287.31,88,4.63,75,-33.918,25.5701,ZA,1636425420
75,Severo-Kuril'sk,2121385,276.61,62,5.77,93,50.6789,156.125,RU,1636425538
76,Lábrea,3663684,296.33,88,0.64,98,-7.2586,-64.7981,BR,1636425720
77,Yankton,5233053,280.44,61,3.09,1,42.8711,-97.3973,US,1636425594
78,Shiyan,1794903,284.75,41,2.91,96,32.6475,110.7781,CN,1636425720
79,Leningradskiy,2123814,259.7,86,0.64,100,69.3833,178.4167,RU,1636425721
80,Wesselsbron,940424,284.85,66,1.98,0,-27.8549,26.3658,ZA,1636425721
81,Tezu,1254709,298.02,30,0.89,4,27.9167,96.1667,IN,1636425721
82,Shingū,1847947,291.7,63,3.04,36,33.7333,135.9833,JP,1636425723
83,Charters Towers,2171722,297.78,79,6.89,100,-20.1,146.2667,AU,1636425723
84,Nouadhibou,2377457,293.14,60,5.66,0,20.931,-17.0347,MR,1636425724
85,Pierre,5767918,278.3,93,1.54,20,44.3683,-100.351,US,1636425676
86,Rocha,3440777,284.53,90,1.04,20,-34.4833,-54.3333,UY,1636425724
87,Tanete,1629965,305.49,61,0.69,97,-3.9443,119.7848,ID,1636425725
88,Lebu,3883457,284.6,93,6.19,74,-37.6167,-73.65,CL,1636425725
89,Mangan,1263776,295.57,39,1.5,10,27.5167,88.5333,IN,1636425725
90,Northam,2641434,286.7,93,4.53,74,51.0333,-4.2167,GB,1636425726
91,Sitka,5557293,279.09,49,2.06,75,57.0531,-135.33,US,1636425726
92,Atuona,4020109,298.61,79,7.93,19,-9.8,-139.0333,PF,1636425678
93,Lluta,3936088,281.3,46,0.68,99,-16.0147,-72.0142,PE,1636425727
94,Hermanus,3366880,286.98,76,2.71,15,-34.4187,19.2345,ZA,1636425727
95,Mar del Plata,3430863,287.64,93,0.45,20,-38.0023,-57.5575,AR,1636425476
96,Vardø,777019,272.01,73,5.09,92,70.3705,31.1107,NO,1636425727
97,Jiuquan,1279945,273.07,28,1.73,0,39.7432,98.5174,CN,1636425728
98,New Norfolk,2155415,291.9,44,0.89,98,-42.7826,147.0587,AU,1636425728
99,Yar-Sale,1486321,261.32,88,4.28,15,66.8333,70.8333,RU,1636425728
100,Kenai,5866063,269.87,85,2.57,1,60.5544,-151.2583,US,1636425729
101,Pulandian,1798490,278.22,66,6.3,94,39.3953,121.9669,CN,1636425729
102,Genhe,2037252,269.39,40,3.63,0,50.7833,121.5167,CN,1636425729
103,Kaitangata,2208248,290.89,68,2.07,100,-46.2817,169.8464,NZ,1636425729
104,Rørvik,3141310,274.32,79,10.06,100,64.8621,11.2373,NO,1636425730
105,Bredasdorp,1015776,285.77,76,2.57,4,-34.5322,20.0403,ZA,1636425730
106,Caravelas,3466980,296.35,91,1.77,72,-17.7125,-39.2481,BR,1636425730
107,Dikson,1507390,255.21,97,3.29,74,73.5069,80.5464,RU,1636425731
108,Port Augusta,2063056,301.32,27,4.88,99,-32.5,137.7667,AU,1636425731
109,George Town,1735106,303.12,81,0.45,20,5.4112,100.3354,MY,1636425731
110,Pemba,1028918,298.54,94,2.06,75,-12.974,40.5178,MZ,1636425732
111,Rūdsar,118191,282.14,55,2.37,0,37.1376,50.288,IR,1636425732
112,Saint Paul Harbor,5866583,273.11,80,3.67,32,57.79,-152.4072,US,1636425562
113,Gwadar,1177446,298.48,37,2.69,0,25.1216,62.3254,PK,1636425733
114,Saint-Philippe,935215,296.9,78,3.83,34,-21.3585,55.7679,RE,1636425733
